Motor Tipi:10
Roket Hızı:20
Roket Uzunluğu1500cm
Roket Çapı:366cm
İtme Gücü:1262kN
Kütle Akış Hızı:1000
x:49.40991 y:114.4897 z:-88.10835
x:49.61536 y:113.0705 z:-88.47472
x:49.71808 y:112.355 z:-88.6579
x:49.8208 y:111.6355 z:-88.84108
x:49.92352 y:110.9122 z:-89.02426
x:50.02625 y:110.1849 z:-89.20744
x:50.12897 y:109.4537 z:-89.39062
x:50.23169 y:108.7186 z:-89.57379
x:50.33441 y:107.9795 z:-89.75697
x:50.43713 y:107.2365 z:-89.94016
x:50.53986 y:106.4896 z:-90.12334
x:50.64258 y:105.7388 z:-90.30652
x:50.84802 y:104.2254 z:-90.67287
x:50.95074 y:103.4628 z:-90.85606
x:51.05347 y:102.6963 z:-91.03923
x:51.15619 y:101.9258 z:-91.22241
x:51.6698 y:98.01476 z:-92.13831
x:51.87524 y:96.42286 z:-92.50467
x:52.08069 y:94.81526 z:-92.87103
x:52.18341 y:94.00558 z:-93.05421
x:52.28613 y:93.19197 z:-93.2374
x:52.49158 y:91.55298 z:-93.60375
x:52.5943 y:90.7276 z:-93.78693
x:52.79968 y:89.06507 z:-94.15329
x:53.00513 y:87.38684 z:-94.51965
x:53.21057 y:85.69292 z:-94.88601
x:53.41602 y:83.98329 z:-95.25237
x:53.51874 y:83.1226 z:-95.43555
x:53.72418 y:81.38943 z:-95.80191
x:53.92963 y:79.64057 z:-96.16827
x:54.13507 y:77.87601 z:-96.53462
x:54.34052 y:76.09576 z:-96.90099
x:54.54596 y:74.29981 z:-97.26734
x:54.64868 y:73.39595 z:-97.45052
x:54.85413 y:71.57646 z:-97.81688
x:54.95685 y:70.66083 z:-98.00006
x:55.16229 y:68.81779 z:-98.36642
x:55.36774 y:66.95905 z:-98.73277
x:55.47046 y:66.0238 z:-98.91595
x:55.6759 y:64.14153 z:-99.28232
x:55.88135 y:62.24355 z:-99.64867
x:56.08679 y:60.32987 z:-100.015
x:56.29224 y:58.40051 z:-100.3814
x:56.49768 y:56.45544 z:-100.7477
